timestamp,particlesDetectedDuration,sampleDuration,concentration (particles/ft^3)
1637183206.977,0,300,0
1637183506.978,0,300.001,0
1637183806.979,0,300,0
1637184106.979,0,300,0
1637184406.98,0,300,0
1637184706.98,0,300,0
1637185006.98,0,300.008,0
1637185306.989,0,300,0
1637185606.989,0,300.001,0
1637185906.99,0,300,0
1637186206.991,0,300,0
1637186506.991,0,300,0
1637186806.992,0,300.006,0
1637187106.998,0,300,0
1637187406.999,0,300.009,0
1637187707.008,0,300.001,0
1637188007.014,0,300,0
1637188307.014,0,300.004,0
1637188607.018,0,300.001,0
1637188907.03,0,300,0
1637189207.03,0,300.009,0
1637189507.039,0,300.004,0
1637189807.043,0,300,0
1637190107.043,0,300,0
1637190407.044,0,300.005,0
1637190707.049,0,300,0
1637191007.049,0,300.009,0
1637191307.058,0,300.004,0
1637191607.063,0,300.008,0
1637191907.071,0,300,0
1637192207.072,0,300,0
1637192507.072,0,300,0
1637192807.072,0,300,0
1637193107.073,0,300,0
1637193407.073,0,300,0
1637193707.073,0,300,0
1637194007.073,0,300,0
1637194307.074,0,300.009,0
1637194607.083,0,300,0
1637194907.083,0,300.006,0
1637195207.089,0,300,0
1637195507.09,0,300,0
1637195807.09,0,300,0
1637196107.09,0,300,0
1637196407.091,0,300.007,0
1637196707.098,0,300.005,0
1637197007.104,0,300,0
1637197307.104,0,300,0
1637197607.104,0,300,0
1637197907.105,0,300.003,0
1637198207.108,0,300.01,0
1637198507.118,0,300.004,0
1637198807.123,0,300,0
1637199107.123,0,300,0
1637199407.123,0,300.005,0
1637199707.128,0,300.001,0
1637200007.129,0,300,0
1637200307.13,0,300.005,0
1637200607.135,0,300,0
1637200907.135,0,300.003,0
1637201207.138,0,300.001,0
1637201507.139,0,300,0
1637201807.14,0,300,0
1637202107.14,0,300,0
1637202407.14,0,300,0
1637202707.141,0,300.008,0
1637203007.149,0,300,0
1637203307.15,0,300.01,0
1637203607.16,0,300.008,0
1637203907.168,0,300,0
1637204207.177,0,300.002,0
1637204507.178,0,300,0
1637204807.18,0,300.009,0
1637205107.189,0,300.009,0
1637205407.198,0,300.001,0
1637205707.209,0,300.009,0
1637206007.218,0,300,0
1637206307.226,0,300,0
1637206607.226,0,300,0
1637206907.227,0,300,0
1637207207.227,0,300,0
1637207507.238,0,300.001,0
1637207807.24,0,300,0
1637208107.24,0,300.007,0
1637208407.249,0,300.009,0
1637208707.258,0,300.001,0
1637209007.259,0,300.01,0
1637209307.269,0,300,0
1637209607.27,0,300,0
1637209907.27,0,300,0
1637210207.271,0,300.008,0
1637210507.279,0,300,0
